county_name,Total,Hispanic or Latino,Not Hispanic or Latino:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Foreign Born
"San Jacinto County, Texas",27402,4822,22580,19170,2083,123,86,15,74,1221
"San Patricio County, Texas",68755,38220,30535,26613,994,198,845,66,227,2777
"San Saba County, Texas",5730,1749,3981,3690,106,29,16,1,10,392
"Schleicher County, Texas",2451,1275,1176,1102,15,4,7,2,10,367
"Scurry County, Texas",16932,7139,9793,8637,599,60,82,5,27,1060
"Shackelford County, Texas",3105,363,2742,2612,20,6,14,0,2,93
"Shelby County, Texas",24022,4685,19337,14416,3805,50,364,14,49,1926
"Sherman County, Texas",2782,1315,1467,1362,10,5,2,0,6,540
"Smith County, Texas",233479,47281,186198,134452,38003,746,4129,77,695,15394
"Somervell County, Texas",9205,1687,7518,7011,39,49,55,0,33,286
"Starr County, Texas",65920,64393,1527,1171,31,8,100,0,98,17559
"Stephens County, Texas",9101,2204,6897,6256,237,36,60,1,27,335
"Sterling County, Texas",1372,449,923,867,3,4,1,2,2,109
"Stonewall County, Texas",1245,226,1019,958,18,3,5,0,2,21
"Sutton County, Texas",3372,2093,1279,1200,6,5,6,0,14,475
"Swisher County, Texas",6971,3147,3824,3219,407,18,10,0,8,926
"Tarrant County, Texas",2110640,620907,1489733,904884,358645,7033,127783,4147,8321,182205
"Taylor County, Texas",143208,34756,108452,87316,10980,589,2815,161,468,4206
"Terrell County, Texas",760,370,390,352,8,0,5,0,2,10
"Terry County, Texas",11831,6569,5262,4599,389,29,37,0,24,1062
"Throckmorton County, Texas",1440,145,1295,1248,1,3,3,0,0,18
"Titus County, Texas",31247,13680,17567,13410,2884,101,262,3,73,6345
"Tom Green County, Texas",120003,47066,72937,62390,4010,366,1704,143,369,5272
"Travis County, Texas",1290188,421110,869078,612824,96270,2762,99660,774,6513,114454
"Trinity County, Texas",13602,1314,12288,10533,1086,29,30,4,33,586
"Tyler County, Texas",19798,1520,18278,15302,2040,111,97,3,47,503
"Upshur County, Texas",40892,3986,36906,31287,2908,261,177,9,150,830
"Upton County, Texas",3308,1797,1511,1318,59,11,4,0,3,307
"Uvalde County, Texas",24564,17317,7247,6613,107,25,158,6,66,2505
"Val Verde County, Texas",47586,38207,9379,7836,538,57,351,35,85,10880
"Van Zandt County, Texas",59541,7071,52470,47986,1517,328,272,30,133,1438
